杉野健太,無事に祠に行ってきました。ナマハゲがいて、魂の提灯を渡してくれました。
源三郎,そうか……よくやったな。健太、お前ならやれると思ってた。
ナギサ,ナマハゲね、最初はすごく怖かったけど、護摩餅をあげたらすっごく喜んでくれてね！あの表情、絶対に忘れられない！
源三郎,……待て。護摩餅の話なんぞ、雅弘も俺も伝えちゃいねぇはずだが？
杉野健太,そ、そうそう！でも、祠で雰囲気を見て思いついたんですよ！ね、ナギサ！
ナギサ,あ、あはは！そうそう！健太のひらめきがすごかったんだよねー！
源三郎,……本当にお前が行ったんだよな、健太？
ナギサ,でもおじいちゃん！聞いてほしいの。私、祠で気づいたの。私はナマハゲそのものにはなれなくても、その精神を伝えていきたいって！
源三郎,……どうやって伝えるつもりだ？
ナギサ,それがまだ分からないの。だから、秋田の精神を継ぐ人たちの力を借りたい！何か良い方法がない？
源三郎,……そうだな。秋田を代表して人々に何かを伝えると言ったら、湯沢市のコマチさんだろうな。
杉野健太,コマチさん？誰ですか？
源三郎,湯沢市の観光キャラクターだ。秋田美人の象徴でな、地元じゃ有名だ。
ナギサ,分かった！魂の提灯を持って、コマチさんに会いに行く！
源三郎,"本当にやる気みたいだな……ナギサの言う通り、精神を伝える者がいれば、令和の秋田も安泰かもしれん。"
